Unnamed: 0,Unnamed: 1,개념설명,국내 산업규모 (2022),국내 추정여부 (2022),국내 추정근거 (2022),출처 (국내 2022),국내 산업규모 (2023),국내 추정여부 (2023),국내 추정근거 (2023),출처 (국내 2023),국내 산업규모 (2024),국내 추정여부 (2024),국내 추정근거 (2024),출처 (국내 2024),해외 산업규모 (2022),해외 추정여부 (2022),해외 추정근거 (2022),출처 (해외 2022),해외 산업규모 (2023),해외 추정여부 (2023),해외 추정근거 (2023),출처 (해외 2023),해외 산업규모 (2024),해외 추정여부 (2024),해외 추정근거 (2024),출처 (해외 2024)
code,code_name,item_contents,,,,,,,,,,,,,,,,,,,,,,,,
F010101,스마트 허브,다양한 스마트 가전·센서·기기를 하나의 시스템으로 연결·제어할 수 있게 해주는 중앙 관리 장치,,,,,,,,,,,,,,,,,,,,,,,,
F010102,공유기,여러 대의 컴퓨터가 유선이나 무선으로 하나의 인터넷 라인을 공유해 동시에 인터넷에 접속할 수 있도록 하는 네트워크 기기,420000000,1,2024년 한국 무선 라우터 시장 규모 약 4692억 원으로부터 과거 성장률 10% 내외를 추정하여 산출,https://v.daum.net/v/Wun1pAaV8I,450000000,1,2024년 시장 규모 4692억 원 및 연간 약 10.6% 성장 전망 기반으로 추정,https://v.daum.net/v/Wun1pAaV8I,469200000,0,"글로벌 시장 조사 기업 6Wresearch에서 직접 발표한 2024년 한국 무선 라우터 시장 규모 데이터 활용, 약 4692억 원 규모 확인",https://v.daum.net/v/Wun1pAaV8I,3390000000,1,글로벌 IoT 및 Wi-Fi 라우터 시장 규모와 연평균 성장률 9~12%를 고려하여 추정,https://www.globalict.kr/upload_file/kms/202403/54723923920628804.pdf,3700000000,1,글로벌 IoT 시장 및 Wi-Fi 라우터 시장 성장 예측 수치 기반 추정치,https://www.globalict.kr/upload_file/kms/202403/54723923920628804.pdf,4100000000,1,글로벌 Wi-Fi 라우터 시장 규모 2024년 약 41억 달러로 시장 조사 기관 자료를 토대로 산출,https://www.globalict.kr/upload_file/kms/202403/54723923920628804.pdf
F010103,노트북,다양한 컴퓨팅 작업을 이동 중에도 수행할 수 있도록 설계된 휴대용 일체형 컴퓨터 솔루션,"1,350,000",0,한국IDC PC 시장 연구 분석,https://www.ilovepc.co.kr/news/articleView.html?idxno=51304,"945,000",0,한국IDC PC 시장 연구 분석,https://news.zum.com/articles/94113060,"936,000",1,2024년 상반기 PC 출하량을 기준으로 추정,https://my.idc.com/getdoc.jsp?containerId=prAP53225025,"18,300,000",1,글로벌 PC 시장 전체 성장률과 출하량을 고려한 추정,https://news.zum.com/articles/94113060,"14,310,000",1,트렌드포스 조사에 따른 글로벌 노트북 출하량 감소 추정,https://news.zum.com/articles/94113060,"14,090,000",1,2023년 출하량을 바탕으로의 추정,https://www.qyr.co.kr/reports/47775/laptop
F010104,마우스,책상 위에 올려 두고 손으로 잡아끌거나 눌러서 컴퓨터를 작동시키는 입력장치,7800000,1,"2017년부터 2023년까지 국내 PC 주변기기 마우스 시장 규모는 연평균 3.6% 성장률을 적용한 추정치임. 2017년 84억원에서 2023년 81억원 규모로 예측됨. 앱코의 보고서 및 국내 PC 주변기기 시장 점유율, 성장률 참고.",https://ssl.pstatic.net/imgstock/upload/research/company/1648689388040.pdf,8100000,1,2017~2023년 연평균 3.6% 성장률을 적용하여 2023년 국내 마우스 시장 규모를 추정. 앱코의 2022년 보고서 기반.,https://ssl.pstatic.net/imgstock/upload/research/company/1648689388040.pdf,8500000,1,"2023년 추정 규모와 최근 e스포츠 등 게이밍 기어 수요 증가, 반도체 수급 개선 전망을 반영해 3.6% 성장률 적용 추정.",https://ssl.pstatic.net/imgstock/upload/research/company/1648689388040.pdf,29300000,1,2023년 글로벌 무선마우스 시장 규모 2억 9300만 달러에서 CAGR 7.9%를 적용해 추정.,https://www.theinsightpartners.com/ko/reports/wireless-mouse-market,31700000,1,2023년 무선마우스 시장 2억 9300만 달러에서 7.9% CAGR 적용해 산출.,https://www.theinsightpartners.com/ko/reports/wireless-mouse-market,36500000,1,2023년부터 2024년까지 7.9% 연평균 성장률을 반영해 추정.,https://www.theinsightpartners.com/ko/reports/wireless-mouse-market
F010105,일반 모니터,"데스크탑 PC나 노트북과 연결하여 영상, 이미지, 텍스트 등 시각 정보를 출력해주는 시각 표시용 디스플레이 장치",7000000000,1,"국내 전체 모니터 시장 출하량과 게이밍 모니터 매출 증가세, OLED 모니터 시장 성장률, 글로벌 4K 모니터 시장 규모 및 성장률을 토대로 추정. 정확한 국내 일반 모니터 시장 규모 데이터 없으나, 전체 모니터 시장 약 7천억원 추정.",https://www.chosun.com/economy/tech_it/2025/04/15/4DMZPBGRIFE2XPVUMMKJCXPNRM/ https://www.prnewswire.com/kr/news-releases/uC634uB514uC544u003Au002Du006Fu006Cu0065u0064u002DuBAA8uB2C8uD130u002DuB514uC2A4uD50CuB808uC774u002DuCD9CuD558uB7C9u002Cu002DuC8FCuC694u002D-302139682.html https://www.financialpost.co.kr/news/articleView.html?idxno=224499,7200000000,1,2022년 대비 국내 모니터 시장 연평균 성장률과 OLED·게이밍 시장 성장 추세 반영 추정.,https://www.chosun.com/economy/tech_it/2025/04/15/4DMZPBGRIFE2XPVUMMKJCXPNRM/ https://www.prnewswire.com/kr/news-releases/uC634uB514uC544u003Au002Du006Fu006Cu0065u0064u002DuBAA8uB2C8uD130u002DuB514uC2A4uD50CuB808uC774u002DuCD9CuD558uB7C9u002Cu002DuC8FCuC694u002D-302139682.html https://www.financialpost.co.kr/news/articleView.html?idxno=224499,7500000000,1,2023년 추세와 글로벌 4K 모니터 및 OLED 시장 성장률을 반영하여 국내 일반 모니터 시장 규모 소폭 증가로 추정.,https://www.chosun.com/economy/tech_it/2025/04/15/4DMZPBGRIFE2XPVUMMKJCXPNRM/ https://www.prnewswire.com/kr/news-releases/uC634uB514uC544u003Au002Du006Fu006Cu0065u0064u002DuBAA8uB2C8uD130u002DuB514uC2A4uD50CuB808uC774u002DuCD9CuD558uB7C9u002Cu002DuC8FCuC694u002D-302139682.html https://www.financialpost.co.kr/news/articleView.html?idxno=224499,33795000000,0,글로벌 4K 모니터 시장 규모 337.95억 달러가 명시된 공식 데이터로 측정.,https://www.businessresearchinsights.com/ko/market-reports/4k-monitor-market-102932,36600000000,1,2022년 데이터를 기준으로 8% 내외 CAGR을 적용해 추정.,https://www.businessresearchinsights.com/ko/market-reports/4k-monitor-market-102932 https://www.giikorea.co.kr/report/infi1395219-global-computer-monitor-market.html,39700000000,1,2023년 예상 성장률과 4K 모니터 시장 확대 추세를 반영해 추정.,https://www.businessresearchinsights.com/ko/market-reports/4k-monitor-market-102932 https://www.giikorea.co.kr/report/infi1395219-global-computer-monitor-market.html
F010106,소프트웨어,컴퓨터 프로그램 및 그와 관련된 문서들을 통틀어 이르는 말,>= 392000000000,0,IDC와 한국콘텐츠진흥원 등에 따름,https://www.etnews.com/20241121000219,>= 414000000000,0,IDC와 한국콘텐츠진흥원 등에 따름,https://www.etnews.com/20240828000007,>= 444000000000,0,IDC와 한국콘텐츠진흥원 등에 따름,https://www.etnews.com/20241121000219,20920000,0,2022년 글로벌 SW 수출규모는 약 209억2000만 달러로 국내 수출 실적 보고서에 근거함,https://www.etnews.com/20241121000219,18330000,0,"2023년 글로벌 수출은 약 183억3000만 달러 규모이며, 2022년 대비 줄어든 실적임",https://www.etnews.com/20240828000007,19830000,1,2024년 해외 시장 규모는 2023년 대비 글로벌 SW 시장 성장률 약 8% 수준으로 추정하여 계산함,https://industrymarket.co.kr/2024nyeon-gugnae-paekijiswsijang-jeonnyeondaebi/
F010107,노트북 쿨러거치대,노트북의 발열을 줄이고 각도를 조절해 작업 효율을 높이는 도구,3500000,1,"국내 노트북 액세서리 시장 규모가 2023년에 약 420억 원이고, 노트북 쿨러거치대는 관련 제품군 중 하나로 시장 점유율과 성장세를 반영하여 전체 액세서리 시장의 약 0.8% 비율로 추정함.",http://dpg.danawa.com/news/view?boardSeq=63&listSeq=5608258,4200000,1,2023년 국내 노트북 액세서리 시장 성장률과 AI 및 고성능 노트북 증가로 쿨러거치대 수요 확대를 반영하여 약 20% 성장률 적용 추정.,http://dpg.danawa.com/news/view?boardSeq=63&listSeq=5608258,4800000,1,2024년 예상되는 노트북 출하량 증가와 고성능 노트북 보급 확대에 따른 쿨러거치대 수요 상승을 감안해 2023년 대비 약 14% 성장률 적용 추정.,http://dpg.danawa.com/news/view?boardSeq=63&listSeq=5608258,4186600000,False,"글로벌 노트북 쿨링패드 시장 규모는 2022년 기준 약 4,186억 6,548만 달러로 보고되어 있으며, 직접적인 시장 규모 데이터임.",https://reads.alibaba.com/ko/laptop-cooling-pads-what-to-know-before-choosing-them/,4440000000,True,글로벌 시장의 연평균 5-6% 성장률을 반영하여 2023년 시장 규모를 추정함.,https://reads.alibaba.com/ko/laptop-cooling-pads-what-to-know-before-choosing-them/,4710000000,True,2023년 대비 연평균 성장률(CAGR 약 6%)을 반영하여 2024년 시장 규모 추정.,https://reads.alibaba.com/ko/laptop-cooling-pads-what-to-know-before-choosing-them/
F010108,웹캠,웹캠이란 웹과 카메라의 합성어로 인터넷상에서 사용하거나 서비스되는 인터넷 캠코더,,,,,,,,,,,,,6630000000,False,"Mordor Intelligence와 Data Bridge Market Research의 보고서에 근거하여 2022년과 2023년, 2024년 글로벌 웹캠 시장 규모 산출",https://www.mordorintelligence.kr/industry-reports/webcams-market https://www.databridgemarketresearch.com/ko/reports/global-webcams-market,6670000000,False,"Mordor Intelligence와 Data Bridge Market Research의 보고서에 근거하여 2022년과 2023년, 2024년 글로벌 웹캠 시장 규모 산출",https://www.mordorintelligence.kr/industry-reports/webcams-market https://www.databridgemarketresearch.com/ko/reports/global-webcams-market,9110000000,False,Mordor Intelligence의 2024년 웹캠 시장규모 9.11억 달러와 Data Bridge Market Research의 2024년 6.67억 달러 보고서 수치를 참고하여 종합 평가,https://www.mordorintelligence.kr/industry-reports/webcams-market https://www.databridgemarketresearch.com/ko/reports/global-webcams-market
F010109,외장하드,데이터를 저장·백업하기 위한 외부 연결형 스토리지 장치,,,,,,,,,,,,,,,,,,,,,,,,
